Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,0.3555,-0.1891,-7.5046,-0.023,-0.0151,-0.0051
1,0.3759,-0.1856,-7.4795,-0.0238,-0.0156,-0.0057
2,0.3687,-0.1903,-7.5154,-0.024,-0.0151,-0.0056
3,0.3723,-0.1832,-7.4819,-0.025,-0.0155,-0.0055
4,0.3771,-0.1975,-7.4998,-0.0242,-0.0159,-0.0048
5,0.3627,-0.1999,-7.513,-0.0245,-0.0157,-0.0045
6,0.3675,-0.1891,-7.5166,-0.0237,-0.0153,-0.0047
7,0.3615,-0.1856,-7.5334,-0.024,-0.0164,-0.0045
8,0.3639,-0.1808,-7.4962,-0.0248,-0.0159,-0.0048
9,0.3567,-0.2011,-7.4974,-0.0245,-0.0153,-0.0052
10,0.3783,-0.1951,-7.507,-0.024,-0.0163,-0.0047
11,0.3723,-0.1951,-7.5106,-0.0242,-0.0164,-0.0052
12,0.3687,-0.1987,-7.519,-0.023,-0.0157,-0.0049
13,0.3651,-0.1867,-7.5166,-0.0237,-0.0155,-0.0056
14,0.3711,-0.1927,-7.5178,-0.0234,-0.016,-0.0049
15,0.3424,-0.1999,-7.4867,-0.025,-0.0155,-0.0053
16,0.3759,-0.2047,-7.4927,-0.025,-0.0152,-0.0044
17,0.3711,-0.182,-7.5298,-0.0249,-0.0157,-0.0049
18,0.3603,-0.1927,-7.5058,-0.0249,-0.0165,-0.0039
19,0.3591,-0.1963,-7.5106,-0.0245,-0.0156,-0.0048
20,0.3675,-0.1999,-7.4867,-0.0242,-0.0151,-0.0045
21,0.3795,-0.1963,-7.5226,-0.0238,-0.0165,-0.0051
22,0.3675,-0.1832,-7.495,-0.0244,-0.0169,-0.0052
23,0.3819,-0.2035,-7.5058,-0.0242,-0.0155,-0.0055
24,0.3711,-0.1915,-7.5238,-0.024,-0.0152,-0.0053
25,0.3603,-0.1951,-7.5214,-0.0245,-0.0149,-0.0052
26,0.346,-0.2023,-7.525,-0.0246,-0.016,-0.0047
27,0.3771,-0.1891,-7.5154,-0.0238,-0.0155,-0.0047
28,0.3962,-0.1951,-7.5118,-0.0244,-0.0161,-0.0051
29,0.3555,-0.1879,-7.5154,-0.0234,-0.0152,-0.0045
30,0.3771,-0.1951,-7.5166,-0.0241,-0.0157,-0.0055
31,0.3711,-0.1903,-7.5238,-0.0242,-0.0165,-0.0047
32,0.3591,-0.1844,-7.5094,-0.0238,-0.0151,-0.0055
33,0.3663,-0.1999,-7.4915,-0.0242,-0.016,-0.0047
34,0.3651,-0.1927,-7.4939,-0.0242,-0.0155,-0.0041
35,0.3651,-0.1975,-7.5106,-0.025,-0.0157,-0.0048
36,0.3448,-0.1927,-7.5094,-0.0225,-0.0161,-0.0049
37,0.3879,-0.2179,-7.4891,-0.0249,-0.0168,-0.0045
38,0.3891,-0.1975,-7.4986,-0.0248,-0.0161,-0.0045
39,0.3759,-0.2035,-7.4927,-0.024,-0.0151,-0.0041
